bank,arm,opponent_family,requested_seed,seat,score,our_cash,opponent_cash,margin,paired_score_delta_vs_c0,paired_margin_delta_vs_c0,action_differences_vs_c0,first_action_difference,stored_states,statuses,shop_history_sha256,replay_path
regression,b2_history_shuffle,qeinstein_moev2,2026092301,0,1.0,86078.0,65965.0,20113.0,0.0,-303.0,3,264,720,DONE/DONE,7d785712861c7a19a3fec324a27d83b40d41d99878c3e244ef7acbb85f932a14,experiments\learning_round2_20260921\regression_bank\replays\b2_history_shuffle\qeinstein_moev2\seed_2026092301_seat_0.json.gz
regression,b2_history_shuffle,qeinstein_moev2,2026092301,1,1.0,86078.0,65965.0,20113.0,0.0,-303.0,3,264,720,DONE/DONE,7d785712861c7a19a3fec324a27d83b40d41d99878c3e244ef7acbb85f932a14,experiments\learning_round2_20260921\regression_bank\replays\b2_history_shuffle\qeinstein_moev2\seed_2026092301_seat_1.json.gz
regression,b_simple,qeinstein_moev2,2026092301,0,1.0,86082.0,65965.0,20117.0,0.0,-299.0,1,264,720,DONE/DONE,7d785712861c7a19a3fec324a27d83b40d41d99878c3e244ef7acbb85f932a14,experiments\learning_round2_20260921\regression_bank\replays\b_simple\qeinstein_moev2\seed_2026092301_seat_0.json.gz
regression,b_simple,qeinstein_moev2,2026092301,1,1.0,86082.0,65965.0,20117.0,0.0,-299.0,1,264,720,DONE/DONE,7d785712861c7a19a3fec324a27d83b40d41d99878c3e244ef7acbb85f932a14,experiments\learning_round2_20260921\regression_bank\replays\b_simple\qeinstein_moev2\seed_2026092301_seat_1.json.gz
regression,c0,qeinstein_moev2,2026092301,0,1.0,86247.0,65831.0,20416.0,0.0,0.0,0,,720,DONE/DONE,7d785712861c7a19a3fec324a27d83b40d41d99878c3e244ef7acbb85f932a14,experiments\learning_round2_20260921\regression_bank\replays\c0\qeinstein_moev2\seed_2026092301_seat_0.json.gz
regression,c0,qeinstein_moev2,2026092301,1,1.0,86247.0,65831.0,20416.0,0.0,0.0,0,,720,DONE/DONE,7d785712861c7a19a3fec324a27d83b40d41d99878c3e244ef7acbb85f932a14,experiments\learning_round2_20260921\regression_bank\replays\c0\qeinstein_moev2\seed_2026092301_seat_1.json.gz
known_failure,b1,mooman_e052a,2026092307,1,0.0,98042.0,105494.0,-7452.0,0.0,0.0,0,,720,DONE/DONE,8f37b24d7598c448601c51720a1735102d0f50b31baabc5cf13b6e13cf5e5994,experiments\learning_round2_20260921\known_failure_bank\replays\b1\mooman_e052a\seed_2026092307_seat_1.json.gz
known_failure,b1,qeinstein_moev2,2026092307,1,0.0,81976.0,82130.0,-154.0,0.0,16.0,2,504,720,DONE/DONE,3cfe19461023c707f3081520681161ae28506edcb87ea09ae60ff3b8bd071869,experiments\learning_round2_20260921\known_failure_bank\replays\b1\qeinstein_moev2\seed_2026092307_seat_1.json.gz
known_failure,b1,smart_farm,2026092307,0,0.0,106774.0,107235.0,-461.0,0.0,0.0,1,504,720,DONE/DONE,44cd34d6eae3995f7fefef1765158c6e50827f952c71e4cdc060c7c07b8bb2ca,experiments\learning_round2_20260921\known_failure_bank\replays\b1\smart_farm\seed_2026092307_seat_0.json.gz
known_failure,b1,smart_farm,2026092307,1,0.0,106774.0,107235.0,-461.0,0.0,0.0,1,504,720,DONE/DONE,44cd34d6eae3995f7fefef1765158c6e50827f952c71e4cdc060c7c07b8bb2ca,experiments\learning_round2_20260921\known_failure_bank\replays\b1\smart_farm\seed_2026092307_seat_1.json.gz
known_failure,b2,mooman_e052a,2026092307,1,0.0,97891.0,105616.0,-7725.0,0.0,-273.0,3,264,720,DONE/DONE,8f37b24d7598c448601c51720a1735102d0f50b31baabc5cf13b6e13cf5e5994,experiments\learning_round2_20260921\known_failure_bank\replays\b2\mooman_e052a\seed_2026092307_seat_1.json.gz
known_failure,b2,qeinstein_moev2,2026092307,1,0.0,81832.0,82247.0,-415.0,0.0,-245.0,4,264,720,DONE/DONE,3cfe19461023c707f3081520681161ae28506edcb87ea09ae60ff3b8bd071869,experiments\learning_round2_20260921\known_failure_bank\replays\b2\qeinstein_moev2\seed_2026092307_seat_1.json.gz
