arm,opponent,family,seed,seat,baseline_result,candidate_result,baseline_score,candidate_score,baseline_self_cash,candidate_self_cash,baseline_opp_cash,candidate_opp_cash,delta_score,delta_self,delta_opp,delta_margin,execution_valid,completion_status,fullgame_followup,transition,candidate_replay,baseline_replay
M1_deadline_market,metav4,near_lineage,812609254,1,W,W,1.0,1.0,86682.0,85803.0,83582.0,84332.0,0.0,-879.0,750.0,-1629.0,True,DEADLINES_FILLED,True,W->W,metrics/development/replays/M1_deadline_market/metav4/seed_812609254_seat_1.json.gz,metrics/development/replays/D0_B1/metav4/seed_812609254_seat_1.json.gz
M1_deadline_market,barnyard,diverse_barnyard,812609251,0,W,W,1.0,1.0,133235.0,134227.0,92735.0,94552.0,0.0,992.0,1817.0,-825.0,True,DEADLINES_FILLED,True,W->W,metrics/development/replays/M1_deadline_market/barnyard/seed_812609251_seat_0.json.gz,metrics/development/replays/D0_B1/barnyard/seed_812609251_seat_0.json.gz
M1_deadline_market,barnyard,diverse_barnyard,812609251,1,W,W,1.0,1.0,133235.0,134227.0,92735.0,94552.0,0.0,992.0,1817.0,-825.0,True,DEADLINES_FILLED,True,W->W,metrics/development/replays/M1_deadline_market/barnyard/seed_812609251_seat_1.json.gz,metrics/development/replays/D0_B1/barnyard/seed_812609251_seat_1.json.gz
M1_deadline_market,barnyard,diverse_barnyard,812609252,0,W,W,1.0,1.0,113797.0,113960.0,85282.0,85606.0,0.0,163.0,324.0,-161.0,True,DEADLINES_FILLED,True,W->W,metrics/development/replays/M1_deadline_market/barnyard/seed_812609252_seat_0.json.gz,metrics/development/replays/D0_B1/barnyard/seed_812609252_seat_0.json.gz
M1_deadline_market,barnyard,diverse_barnyard,812609252,1,W,W,1.0,1.0,113797.0,113960.0,85282.0,85606.0,0.0,163.0,324.0,-161.0,True,DEADLINES_FILLED,True,W->W,metrics/development/replays/M1_deadline_market/barnyard/seed_812609252_seat_1.json.gz,metrics/development/replays/D0_B1/barnyard/seed_812609252_seat_1.json.gz
M1_deadline_market,barnyard,diverse_barnyard,812609253,0,W,W,1.0,1.0,127752.0,127685.0,91732.0,92021.0,0.0,-67.0,289.0,-356.0,True,DEADLINES_FILLED,True,W->W,metrics/development/replays/M1_deadline_market/barnyard/seed_812609253_seat_0.json.gz,metrics/development/replays/D0_B1/barnyard/seed_812609253_seat_0.json.gz
M1_deadline_market,barnyard,diverse_barnyard,812609253,1,W,W,1.0,1.0,127752.0,127685.0,91732.0,92021.0,0.0,-67.0,289.0,-356.0,True,DEADLINES_FILLED,True,W->W,metrics/development/replays/M1_deadline_market/barnyard/seed_812609253_seat_1.json.gz,metrics/development/replays/D0_B1/barnyard/seed_812609253_seat_1.json.gz
M1_deadline_market,barnyard,diverse_barnyard,812609254,0,W,W,1.0,1.0,104810.0,104675.0,64958.0,65272.0,0.0,-135.0,314.0,-449.0,False,DEADLINE_UNFILLED,True,W->W,metrics/development/replays/M1_deadline_market/barnyard/seed_812609254_seat_0.json.gz,metrics/development/replays/D0_B1/barnyard/seed_812609254_seat_0.json.gz
M1_deadline_market,barnyard,diverse_barnyard,812609254,1,W,W,1.0,1.0,104810.0,104675.0,64958.0,65272.0,0.0,-135.0,314.0,-449.0,False,DEADLINE_UNFILLED,True,W->W,metrics/development/replays/M1_deadline_market/barnyard/seed_812609254_seat_1.json.gz,metrics/development/replays/D0_B1/barnyard/seed_812609254_seat_1.json.gz
M1_deadline_market,melon_threshold,diverse_melon,812609251,0,W,W,1.0,1.0,82523.0,82459.0,80509.0,81131.0,0.0,-64.0,622.0,-686.0,False,DEADLINE_UNFILLED,True,W->W,metrics/development/replays/M1_deadline_market/melon_threshold/seed_812609251_seat_0.json.gz,metrics/development/replays/D0_B1/melon_threshold/seed_812609251_seat_0.json.gz
M1_deadline_market,melon_threshold,diverse_melon,812609251,1,W,W,1.0,1.0,82523.0,82459.0,80509.0,81131.0,0.0,-64.0,622.0,-686.0,False,DEADLINE_UNFILLED,True,W->W,metrics/development/replays/M1_deadline_market/melon_threshold/seed_812609251_seat_1.json.gz,metrics/development/replays/D0_B1/melon_threshold/seed_812609251_seat_1.json.gz
M1_deadline_market,melon_threshold,diverse_melon,812609252,0,W,W,1.0,1.0,101731.0,101423.0,99775.0,99977.0,0.0,-308.0,202.0,-510.0,False,DEADLINE_UNFILLED,True,W->W,metrics/development/replays/M1_deadline_market/melon_threshold/seed_812609252_seat_0.json.gz,metrics/development/replays/D0_B1/melon_threshold/seed_812609252_seat_0.json.gz
M1_deadline_market,melon_threshold,diverse_melon,812609252,1,W,W,1.0,1.0,101731.0,101423.0,99775.0,99977.0,0.0,-308.0,202.0,-510.0,False,DEADLINE_UNFILLED,True,W->W,metrics/development/replays/M1_deadline_market/melon_threshold/seed_812609252_seat_1.json.gz,metrics/development/replays/D0_B1/melon_threshold/seed_812609252_seat_1.json.gz
M1_deadline_market,melon_threshold,diverse_melon,812609253,0,W,W,1.0,1.0,109634.0,109784.0,107054.0,107308.0,0.0,150.0,254.0,-104.0,True,DEADLINES_FILLED,True,W->W,metrics/development/replays/M1_deadline_market/melon_threshold/seed_812609253_seat_0.json.gz,metrics/development/replays/D0_B1/melon_threshold/seed_812609253_seat_0.json.gz
M1_deadline_market,melon_threshold,diverse_melon,812609253,1,W,W,1.0,1.0,109634.0,109784.0,107054.0,107308.0,0.0,150.0,254.0,-104.0,True,DEADLINES_FILLED,True,W->W,metrics/development/replays/M1_deadline_market/melon_threshold/seed_812609253_seat_1.json.gz,metrics/development/replays/D0_B1/melon_threshold/seed_812609253_seat_1.json.gz
M1_deadline_market,melon_threshold,diverse_melon,812609254,0,L,L,0.0,0.0,82319.0,82142.0,84181.0,84291.0,0.0,-177.0,110.0,-287.0,False,DEADLINE_UNFILLED,True,L->L,metrics/development/replays/M1_deadline_market/melon_threshold/seed_812609254_seat_0.json.gz,metrics/development/replays/D0_B1/melon_threshold/seed_812609254_seat_0.json.gz
M1_deadline_market,melon_threshold,diverse_melon,812609254,1,W,W,1.0,1.0,85765.0,86274.0,80947.0,81548.0,0.0,509.0,601.0,-92.0,False,DEADLINE_UNFILLED,True,W->W,metrics/development/replays/M1_deadline_market/melon_threshold/seed_812609254_seat_1.json.gz,metrics/development/replays/D0_B1/melon_threshold/seed_812609254_seat_1.json.gz
P_EARLY4,B1,near_lineage,812609251,0,D,L,0.5,0.0,83167.0,106216.0,83167.0,123998.0,-0.5,23049.0,40831.0,-17782.0,True,EARLY4_SOLD,True,D->L,metrics/development/replays/P_EARLY4/B1/seed_812609251_seat_0.json.gz,metrics/development/replays/D0_B1/B1/seed_812609251_seat_0.json.gz
P_EARLY4,B1,near_lineage,812609251,1,D,L,0.5,0.0,83167.0,106216.0,83167.0,123998.0,-0.5,23049.0,40831.0,-17782.0,True,EARLY4_SOLD,True,D->L,metrics/development/replays/P_EARLY4/B1/seed_812609251_seat_1.json.gz,metrics/development/replays/D0_B1/B1/seed_812609251_seat_1.json.gz
P_EARLY4,B1,near_lineage,812609252,0,D,L,0.5,0.0,101240.0,58080.0,101240.0,67248.0,-0.5,-43160.0,-33992.0,-9168.0,True,EARLY4_SOLD,True,D->L,metrics/development/replays/P_EARLY4/B1/seed_812609252_seat_0.json.gz,metrics/development/replays/D0_B1/B1/seed_812609252_seat_0.json.gz
P_EARLY4,B1,near_lineage,812609252,1,D,L,0.5,0.0,101240.0,58080.0,101240.0,67248.0,-0.5,-43160.0,-33992.0,-9168.0,True,EARLY4_SOLD,True,D->L,metrics/development/replays/P_EARLY4/B1/seed_812609252_seat_1.json.gz,metrics/development/replays/D0_B1/B1/seed_812609252_seat_1.json.gz
P_EARLY4,B1,near_lineage,812609253,0,D,L,0.5,0.0,109255.0,102916.0,109255.0,121978.0,-0.5,-6339.0,12723.0,-19062.0,True,EARLY4_SOLD,True,D->L,metrics/development/replays/P_EARLY4/B1/seed_812609253_seat_0.json.gz,metrics/development/replays/D0_B1/B1/seed_812609253_seat_0.json.gz
P_EARLY4,B1,near_lineage,812609253,1,D,L,0.5,0.0,109255.0,102916.0,109255.0,121978.0,-0.5,-6339.0,12723.0,-19062.0,True,EARLY4_SOLD,True,D->L,metrics/development/replays/P_EARLY4/B1/seed_812609253_seat_1.json.gz,metrics/development/replays/D0_B1/B1/seed_812609253_seat_1.json.gz
P_EARLY4,B1,near_lineage,812609254,0,L,L,0.0,0.0,83375.0,97392.0,86851.0,123644.0,0.0,14017.0,36793.0,-22776.0,True,EARLY4_SOLD,True,L->L,metrics/development/replays/P_EARLY4/B1/seed_812609254_seat_0.json.gz,metrics/development/replays/D0_B1/B1/seed_812609254_seat_0.json.gz
P_EARLY4,B1,near_lineage,812609254,1,W,L,1.0,0.0,86851.0,105514.0,83375.0,116321.0,-1.0,18663.0,32946.0,-14283.0,True,EARLY4_SOLD,True,W->L,metrics/development/replays/P_EARLY4/B1/seed_812609254_seat_1.json.gz,metrics/development/replays/D0_B1/B1/seed_812609254_seat_1.json.gz
P_EARLY4,v57,near_lineage,812609251,0,W,L,1.0,0.0,82986.0,106313.0,82757.0,124202.0,-1.0,23327.0,41445.0,-18118.0,True,EARLY4_SOLD,True,W->L,metrics/development/replays/P_EARLY4/v57/seed_812609251_seat_0.json.gz,metrics/development/replays/D0_B1/v57/seed_812609251_seat_0.json.gz
P_EARLY4,v57,near_lineage,812609251,1,W,L,1.0,0.0,82986.0,106313.0,82757.0,124202.0,-1.0,23327.0,41445.0,-18118.0,True,EARLY4_SOLD,True,W->L,metrics/development/replays/P_EARLY4/v57/seed_812609251_seat_1.json.gz,metrics/development/replays/D0_B1/v57/seed_812609251_seat_1.json.gz
P_EARLY4,v57,near_lineage,812609252,0,W,L,1.0,0.0,100969.0,57474.0,100735.0,66741.0,-1.0,-43495.0,-33994.0,-9501.0,True,EARLY4_SOLD,True,W->L,metrics/development/replays/P_EARLY4/v57/seed_812609252_seat_0.json.gz,metrics/development/replays/D0_B1/v57/seed_812609252_seat_0.json.gz
P_EARLY4,v57,near_lineage,812609252,1,W,L,1.0,0.0,100969.0,57474.0,100735.0,66741.0,-1.0,-43495.0,-33994.0,-9501.0,True,EARLY4_SOLD,True,W->L,metrics/development/replays/P_EARLY4/v57/seed_812609252_seat_1.json.gz,metrics/development/replays/D0_B1/v57/seed_812609252_seat_1.json.gz
P_EARLY4,v57,near_lineage,812609253,0,W,L,1.0,0.0,109394.0,102982.0,109258.0,121692.0,-1.0,-6412.0,12434.0,-18846.0,True,EARLY4_SOLD,True,W->L,metrics/development/replays/P_EARLY4/v57/seed_812609253_seat_0.json.gz,metrics/development/replays/D0_B1/v57/seed_812609253_seat_0.json.gz
P_EARLY4,v57,near_lineage,812609253,1,W,L,1.0,0.0,109394.0,102982.0,109258.0,121692.0,-1.0,-6412.0,12434.0,-18846.0,True,EARLY4_SOLD,True,W->L,metrics/development/replays/P_EARLY4/v57/seed_812609253_seat_1.json.gz,metrics/development/replays/D0_B1/v57/seed_812609253_seat_1.json.gz
P_EARLY4,v57,near_lineage,812609254,0,L,L,0.0,0.0,83582.0,97487.0,86960.0,123495.0,0.0,13905.0,36535.0,-22630.0,True,EARLY4_SOLD,True,L->L,metrics/development/replays/P_EARLY4/v57/seed_812609254_seat_0.json.gz,metrics/development/replays/D0_B1/v57/seed_812609254_seat_0.json.gz
P_EARLY4,v57,near_lineage,812609254,1,W,L,1.0,0.0,86325.0,105633.0,84198.0,116109.0,-1.0,19308.0,31911.0,-12603.0,True,EARLY4_SOLD,True,W->L,metrics/development/replays/P_EARLY4/v57/seed_812609254_seat_1.json.gz,metrics/development/replays/D0_B1/v57/seed_812609254_seat_1.json.gz
P_EARLY4,order_book,near_lineage,812609251,0,W,L,1.0,0.0,83275.0,106271.0,83042.0,123517.0,-1.0,22996.0,40475.0,-17479.0,True,EARLY4_SOLD,True,W->L,metrics/development/replays/P_EARLY4/order_book/seed_812609251_seat_0.json.gz,metrics/development/replays/D0_B1/order_book/seed_812609251_seat_0.json.gz
P_EARLY4,order_book,near_lineage,812609251,1,W,L,1.0,0.0,83275.0,106271.0,83042.0,123517.0,-1.0,22996.0,40475.0,-17479.0,True,EARLY4_SOLD,True,W->L,metrics/development/replays/P_EARLY4/order_book/seed_812609251_seat_1.json.gz,metrics/development/replays/D0_B1/order_book/seed_812609251_seat_1.json.gz
P_EARLY4,order_book,near_lineage,812609252,0,W,L,1.0,0.0,101166.0,57497.0,100688.0,66778.0,-1.0,-43669.0,-33910.0,-9759.0,True,EARLY4_SOLD,True,W->L,metrics/development/replays/P_EARLY4/order_book/seed_812609252_seat_0.json.gz,metrics/development/replays/D0_B1/order_book/seed_812609252_seat_0.json.gz
P_EARLY4,order_book,near_lineage,812609252,1,W,L,1.0,0.0,101166.0,57497.0,100688.0,66778.0,-1.0,-43669.0,-33910.0,-9759.0,True,EARLY4_SOLD,True,W->L,metrics/development/replays/P_EARLY4/order_book/seed_812609252_seat_1.json.gz,metrics/development/replays/D0_B1/order_book/seed_812609252_seat_1.json.gz
P_EARLY4,order_book,near_lineage,812609253,0,W,L,1.0,0.0,109282.0,102960.0,109204.0,121267.0,-1.0,-6322.0,12063.0,-18385.0,True,EARLY4_SOLD,True,W->L,metrics/development/replays/P_EARLY4/order_book/seed_812609253_seat_0.json.gz,metrics/development/replays/D0_B1/order_book/seed_812609253_seat_0.json.gz
P_EARLY4,order_book,near_lineage,812609253,1,W,L,1.0,0.0,109282.0,102960.0,109204.0,121267.0,-1.0,-6322.0,12063.0,-18385.0,True,EARLY4_SOLD,True,W->L,metrics/development/replays/P_EARLY4/order_book/seed_812609253_seat_1.json.gz,metrics/development/replays/D0_B1/order_book/seed_812609253_seat_1.json.gz
P_EARLY4,order_book,near_lineage,812609254,0,L,L,0.0,0.0,83244.0,97390.0,86532.0,123630.0,0.0,14146.0,37098.0,-22952.0,True,EARLY4_SOLD,True,L->L,metrics/development/replays/P_EARLY4/order_book/seed_812609254_seat_0.json.gz,metrics/development/replays/D0_B1/order_book/seed_812609254_seat_0.json.gz
P_EARLY4,order_book,near_lineage,812609254,1,W,L,1.0,0.0,86632.0,105510.0,82957.0,116313.0,-1.0,18878.0,33356.0,-14478.0,True,EARLY4_SOLD,True,W->L,metrics/development/replays/P_EARLY4/order_book/seed_812609254_seat_1.json.gz,metrics/development/replays/D0_B1/order_book/seed_812609254_seat_1.json.gz
P_EARLY4,metav4,near_lineage,812609251,0,W,L,1.0,0.0,83011.0,106379.0,82415.0,123676.0,-1.0,23368.0,41261.0,-17893.0,True,EARLY4_SOLD,True,W->L,metrics/development/replays/P_EARLY4/metav4/seed_812609251_seat_0.json.gz,metrics/development/replays/D0_B1/metav4/seed_812609251_seat_0.json.gz
