arm,opponent_id,seed,seat,result,self_final_cash,margin,max_workers,max_unlocked_quadrants,max_animals,hire_order_turns,buy_land_order_turns,first_wheat_day,max_wheat_tiles,day15_wheat_tiles,day18_wheat_tiles,day24_wheat_tiles,plant_wheat_actions,first_carrot_day,max_carrot_tiles,day15_carrot_tiles,day18_carrot_tiles,day24_carrot_tiles,plant_carrot_actions,first_tomato_day,max_tomato_tiles,day15_tomato_tiles,day18_tomato_tiles,day24_tomato_tiles,plant_tomato_actions,first_strawberry_day,max_strawberry_tiles,day15_strawberry_tiles,day18_strawberry_tiles,day24_strawberry_tiles,plant_strawberry_actions,first_melon_day,max_melon_tiles,day15_melon_tiles,day18_melon_tiles,day24_melon_tiles,plant_melon_actions
master_hybrid,metav4,512609241,1,W,109379.0,1110.0,14,4,17,284,3,0,25,20,18,21,124,6,37,4,7,17,70,18,10,0,0,10,10,5,33,33,33,20,33,0,12,0,0,0,12
master_hybrid,metav4,512609242,0,W,115453.0,451.0,14,4,17,284,3,0,25,24,24,19,126,17,42,0,1,19,68,18,10,0,0,10,10,5,33,33,33,20,33,0,12,0,0,0,12
master_hybrid,metav4,512609242,1,W,115453.0,451.0,14,4,17,284,3,0,25,24,24,19,126,17,42,0,1,19,68,18,10,0,0,10,10,5,33,33,33,20,33,0,12,0,0,0,12
master_hybrid,metav4,512609243,0,W,97614.0,856.0,11,3,17,266,2,0,38,24,25,38,159,24,32,0,0,0,35,,0,0,0,0,0,5,33,33,33,20,33,0,12,0,0,0,12
master_hybrid,metav4,512609243,1,W,97614.0,856.0,11,3,17,266,2,0,38,24,25,38,159,24,32,0,0,0,35,,0,0,0,0,0,5,33,33,33,20,33,0,12,0,0,0,12
master_hybrid,metav4,512609244,0,W,99696.0,230.0,12,3,17,281,2,0,41,24,25,38,165,25,28,0,0,0,29,,0,0,0,0,0,5,33,33,33,20,33,0,12,0,0,0,12
master_hybrid,metav4,512609244,1,W,99696.0,230.0,12,3,17,281,2,0,41,24,25,38,165,25,28,0,0,0,29,,0,0,0,0,0,5,33,33,33,20,33,0,12,0,0,0,12
master_hybrid,order_book,512609241,0,W,108498.0,528.0,14,4,17,284,3,0,25,20,18,21,124,6,37,4,7,17,70,18,10,0,0,10,10,5,33,33,33,20,33,0,12,0,0,0,12
master_hybrid,order_book,512609241,1,W,108498.0,528.0,14,4,17,284,3,0,25,20,18,21,124,6,37,4,7,17,70,18,10,0,0,10,10,5,33,33,33,20,33,0,12,0,0,0,12
master_hybrid,order_book,512609242,0,W,115120.0,258.0,14,4,17,284,3,0,25,24,24,19,126,17,42,0,1,19,68,18,10,0,0,10,10,5,33,33,33,20,33,0,12,0,0,0,12
master_hybrid,order_book,512609242,1,W,115120.0,258.0,14,4,17,284,3,0,25,24,24,19,126,17,42,0,1,19,68,18,10,0,0,10,10,5,33,33,33,20,33,0,12,0,0,0,12
master_hybrid,order_book,512609243,0,W,97201.0,35.0,11,3,17,266,2,0,38,24,25,38,158,24,33,0,0,0,36,,0,0,0,0,0,5,33,33,33,20,33,0,12,0,0,0,12
master_hybrid,order_book,512609243,1,W,97201.0,35.0,11,3,17,266,2,0,38,24,25,38,158,24,33,0,0,0,36,,0,0,0,0,0,5,33,33,33,20,33,0,12,0,0,0,12
master_hybrid,order_book,512609244,0,W,99559.0,27.0,12,3,17,281,2,0,41,24,25,38,163,25,30,0,0,0,31,,0,0,0,0,0,5,33,33,33,20,33,0,12,0,0,0,12
master_hybrid,order_book,512609244,1,W,99559.0,27.0,12,3,17,281,2,0,41,24,25,38,163,25,30,0,0,0,31,,0,0,0,0,0,5,33,33,33,20,33,0,12,0,0,0,12
master_hybrid,v57,512609241,0,W,109321.0,861.0,14,4,17,284,3,0,25,20,18,21,124,6,37,4,7,17,70,18,10,0,0,10,10,5,33,33,33,20,33,0,12,0,0,0,12
master_hybrid,v57,512609241,1,W,109321.0,861.0,14,4,17,284,3,0,25,20,18,21,124,6,37,4,7,17,70,18,10,0,0,10,10,5,33,33,33,20,33,0,12,0,0,0,12
master_hybrid,v57,512609242,0,L,115326.0,-424.0,14,4,17,284,3,0,25,24,24,19,126,17,42,0,1,19,68,18,10,0,0,10,10,5,33,33,33,20,33,0,12,0,0,0,12
master_hybrid,v57,512609242,1,L,115326.0,-424.0,14,4,17,284,3,0,25,24,24,19,126,17,42,0,1,19,68,18,10,0,0,10,10,5,33,33,33,20,33,0,12,0,0,0,12
master_hybrid,v57,512609243,0,W,97478.0,621.0,11,3,17,266,2,0,38,24,25,38,158,24,33,0,0,0,36,,0,0,0,0,0,5,33,33,33,20,33,0,12,0,0,0,12
master_hybrid,v57,512609243,1,W,97478.0,621.0,11,3,17,266,2,0,38,24,25,38,158,24,33,0,0,0,36,,0,0,0,0,0,5,33,33,33,20,33,0,12,0,0,0,12
master_hybrid,v57,512609244,0,W,99597.0,115.0,12,3,17,281,2,0,41,24,25,38,163,25,30,0,0,0,31,,0,0,0,0,0,5,33,33,33,20,33,0,12,0,0,0,12
master_hybrid,v57,512609244,1,W,99597.0,115.0,12,3,17,281,2,0,41,24,25,38,163,25,30,0,0,0,31,,0,0,0,0,0,5,33,33,33,20,33,0,12,0,0,0,12
moon,B1,512609241,0,L,108447.0,-125.0,14,4,17,284,3,0,25,24,24,20,133,17,37,0,1,17,61,18,10,0,0,10,10,5,33,33,33,20,33,0,12,0,0,0,12
moon,B1,512609241,1,L,108447.0,-125.0,14,4,17,284,3,0,25,24,24,20,133,17,37,0,1,17,61,18,10,0,0,10,10,5,33,33,33,20,33,0,12,0,0,0,12
moon,B1,512609242,0,W,116256.0,1450.0,14,4,17,284,3,0,25,24,25,21,131,20,41,0,0,17,63,18,10,0,0,10,10,5,33,33,33,20,33,0,12,0,0,0,12
moon,B1,512609242,1,W,116256.0,1450.0,14,4,17,284,3,0,25,24,25,21,131,20,41,0,0,17,63,18,10,0,0,10,10,5,33,33,33,20,33,0,12,0,0,0,12
moon,B1,512609243,0,L,96645.0,-818.0,11,3,17,266,2,0,38,24,25,38,163,24,29,0,0,0,31,,0,0,0,0,0,5,33,33,33,20,33,0,12,0,0,0,12
moon,B1,512609243,1,L,96645.0,-818.0,11,3,17,266,2,0,38,24,25,38,163,24,29,0,0,0,31,,0,0,0,0,0,5,33,33,33,20,33,0,12,0,0,0,12
moon,B1,512609244,0,W,99628.0,1547.0,12,3,17,281,2,0,41,24,25,38,166,25,27,0,0,0,28,,0,0,0,0,0,5,33,33,33,20,33,0,12,0,0,0,12
moon,B1,512609244,1,W,99628.0,1547.0,12,3,17,281,2,0,41,24,25,38,166,25,27,0,0,0,28,,0,0,0,0,0,5,33,33,33,20,33,0,12,0,0,0,12
moon,metav4,512609241,0,W,109029.0,965.0,14,4,17,284,3,0,25,24,24,20,133,17,37,0,1,17,61,18,10,0,0,10,10,5,33,33,33,20,33,0,12,0,0,0,12
moon,metav4,512609241,1,W,109029.0,965.0,14,4,17,284,3,0,25,24,24,20,133,17,37,0,1,17,61,18,10,0,0,10,10,5,33,33,33,20,33,0,12,0,0,0,12
moon,metav4,512609242,0,W,116338.0,2018.0,14,4,17,284,3,0,25,24,25,21,130,20,42,0,0,17,64,18,10,0,0,10,10,5,33,33,33,20,33,0,12,0,0,0,12
moon,metav4,512609242,1,W,116338.0,2018.0,14,4,17,284,3,0,25,24,25,21,130,20,42,0,0,17,64,18,10,0,0,10,10,5,33,33,33,20,33,0,12,0,0,0,12
moon,metav4,512609243,0,L,96823.0,-5.0,11,3,17,266,2,0,38,24,25,38,163,24,29,0,0,0,31,,0,0,0,0,0,5,33,33,33,20,33,0,12,0,0,0,12
moon,metav4,512609243,1,L,96823.0,-5.0,11,3,17,266,2,0,38,24,25,38,163,24,29,0,0,0,31,,0,0,0,0,0,5,33,33,33,20,33,0,12,0,0,0,12
moon,metav4,512609244,0,W,99692.0,1730.0,12,3,17,281,2,0,41,24,25,38,166,25,27,0,0,0,28,,0,0,0,0,0,5,33,33,33,20,33,0,12,0,0,0,12
moon,metav4,512609244,1,W,99692.0,1730.0,12,3,17,281,2,0,41,24,25,38,166,25,27,0,0,0,28,,0,0,0,0,0,5,33,33,33,20,33,0,12,0,0,0,12
moon,order_book,512609241,0,W,108489.0,367.0,14,4,17,284,3,0,25,24,24,20,133,17,37,0,1,17,61,18,10,0,0,10,10,5,33,33,33,20,33,0,12,0,0,0,12
moon,order_book,512609241,1,W,108489.0,367.0,14,4,17,284,3,0,25,24,24,20,133,17,37,0,1,17,61,18,10,0,0,10,10,5,33,33,33,20,33,0,12,0,0,0,12
moon,order_book,512609242,0,W,116383.0,2290.0,14,4,17,284,3,0,25,24,25,21,131,20,41,0,0,17,63,18,10,0,0,10,10,5,33,33,33,20,33,0,12,0,0,0,12
moon,order_book,512609242,1,W,116383.0,2290.0,14,4,17,284,3,0,25,24,25,21,131,20,41,0,0,17,63,18,10,0,0,10,10,5,33,33,33,20,33,0,12,0,0,0,12
